VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-07-01 00:25:32,2020-07-01 00:33:39,1,1.50,1,N,238,75,2,8,0.5,0.5,0,0,0.3,9.3,0
1,2020-07-01 00:03:19,2020-07-01 00:25:43,1,9.50,1,N,138,216,1,26.5,0.5,0.5,0,0,0.3,27.8,0
2,2020-07-01 00:15:11,2020-07-01 00:29:24,1,5.85,1,N,230,88,2,18.5,0.5,0.5,0,0,0.3,22.3,2.5
2,2020-07-01 00:30:49,2020-07-01 00:38:26,1,1.90,1,N,88,232,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-07-01 00:31:26,2020-07-01 00:38:02,1,1.25,1,N,37,17,2,6.5,0.5,0.5,0,0,0.3,7.8,0
1,2020-07-01 00:09:00,2020-07-01 00:34:39,1,9.70,1,N,140,61,1,30,3,0.5,0,0,0.3,33.8,2.5
2,2020-07-01 00:44:08,2020-07-01 00:58:12,1,5.27,1,N,137,260,1,16.5,0.5,0.5,6.09,0,0.3,26.39,2.5
2,2020-07-01 00:49:20,2020-07-01 00:56:44,1,1.32,1,N,166,41,2,7.5,0.5,0.5,0,0,0.3,8.8,0
2,2020-07-01 00:21:59,2020-07-01 00:25:12,1,.73,1,N,239,142,1,5,0.5,0.5,1.32,0,0.3,10.12,2.5
2,2020-07-01 00:08:28,2020-07-01 00:36:18,1,18.65,2,N,132,249,1,52,0,0.5,11.06,0,0.3,66.36,2.5
1,2020-07-01 00:26:44,2020-07-01 00:43:46,2,8.00,1,N,138,112,1,24,0.5,0.5,3,0,0.3,28.3,0
2,2020-07-01 00:40:49,2020-07-01 00:51:59,3,4.97,1,N,79,195,2,16,0.5,0.5,0,0,0.3,19.8,2.5
2,2020-07-01 00:03:34,2020-07-01 00:03:42,1,.00,2,N,45,45,1,52,0,0.5,11.06,0,0.3,66.36,2.5
2,2020-07-01 00:08:53,2020-07-01 00:12:42,1,.57,1,N,263,263,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2020-07-01 00:16:31,2020-07-01 00:16:41,1,.00,1,N,263,263,1,2.5,0.5,0.5,1.89,0,0.3,8.19,2.5
2,2020-07-01 00:36:43,2020-07-01 01:02:48,1,9.41,1,N,170,116,1,29.5,0.5,0.5,3,0,0.3,36.3,2.5
1,2020-07-01 00:16:31,2020-07-01 00:16:43,1,2.80,1,Y,141,141,2,2.5,2.5,0.5,0,0,0.3,5.8,2.5
1,2020-07-01 00:33:37,2020-07-01 00:55:26,2,13.50,1,Y,137,254,2,36.5,2.5,0.5,0,0,0.3,39.8,2.5
2,2020-07-01 00:15:15,2020-07-01 00:17:44,1,.48,1,N,140,140,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
